,full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
198,Francisco Femenía Far,29,665452800,Premier League,2018/2019,Midfielder,Watford,2045,1011,1034,Spain,29,11,11,1,1,0,1,1,0,0,0,5,3,2,38,21,17,1,0,0.09,0.04,0.04,0.09,0.0,2045,1.67,54,71,2045,2045,0.04,237,216,-1,12
199,Fraser Forster,32,574560000,Premier League,2018/2019,Goalkeeper,Southampton,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,3.0,30,90,0,0,0.0,-1,-1,-1,29
200,Freddie Woodman,23,857433600,Premier League,2018/2019,Goalkeeper,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
201,Frederico Santos,27,731289600,Premier League,2018/2019,Midfielder,Manchester United,1045,577,468,Brazil,17,7,6,1,1,0,1,0,1,0,0,0,0,0,19,8,11,2,0,0.17,0.09,0.09,0.16,0.0,1045,1.64,55,61,523,1045,0.17,171,156,-1,12
202,Gabriel Jesus,23,860025600,Premier League,2018/2019,Forward,Manchester City,1019,702,317,Brazil,29,7,1,7,5,2,3,1,2,1,0,16,7,9,11,7,4,1,0,0.88,0.26,0.62,0.64,0.57,146,0.97,93,35,1019,340,0.09,6,33,-1,4
203,Gaetan Bong,32,577929600,Premier League,2018/2019,Defender,Brighton & Hove Albion,1805,720,1085,Cameroon,22,8,11,0,0,0,0,0,0,0,0,5,3,2,32,9,23,0,0,0.0,0.0,0.0,0.0,0.0,0,1.6,56,82,0,0,0.0,401,397,132,18
204,Gary Cahill,34,503798400,Premier League,2018/2019,Defender,Chelsea,22,1,21,England,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,11,0,0,0.0,-1,-1,-1,15
205,Gary Madine,29,651456000,Premier League,2018/2019,Forward,Cardiff City,32,17,15,England,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,5.63,16,6,0,0,0.0,-1,-1,-1,20
206,George Marsh,21,910224000,Premier League,2018/2019,Midfielder,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
207,Georges-Kevin N'Koudou Mbida,25,792633600,Premier League,2018/2019,Forward,Tottenham Hotspur,4,0,4,France,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22.5,22.5,0.0,0.0,0.0,0,0.0,0,4,0,4,0.0,-1,-1,-1,18
208,Georginio Wijnaldum,29,658281600,Premier League,2018/2019,Midfielder,Liverpool,2735,1413,1322,Netherlands,35,17,15,3,1,2,0,0,0,0,0,21,12,9,15,6,9,3,0,0.1,0.0,0.1,0.06,0.14,912,0.49,182,78,912,0,0.1,161,416,-1,8
209,Gerard Deulofeu,26,763516800,Premier League,2018/2019,Forward,Watford,2082,949,1133,Spain,30,12,14,10,3,7,5,3,2,0,0,6,3,3,28,11,17,3,0,0.65,0.22,0.43,0.28,0.56,208,1.21,74,69,694,416,0.13,29,59,-1,1
210,Glenn Murray,36,433296000,Premier League,2018/2019,Forward,Brighton & Hove Albion,2513,1383,1130,England,38,17,13,13,8,5,1,1,0,4,0,7,5,2,44,22,22,5,0,0.5,0.04,0.47,0.52,0.4,193,1.58,57,66,503,2513,0.18,22,227,-1,1
211,Gonzalo Higuain,32,566092800,Premier League,2018/2019,Forward,Chelsea,1092,496,596,Argentina,14,6,7,5,4,1,0,0,0,0,0,5,4,1,15,3,12,0,0,0.41,0.0,0.41,0.73,0.15,218,1.24,73,78,0,0,0.0,33,306,-1,5
212,Grady Diangana,22,892944000,Premier League,2018/2019,Midfielder,West Ham United,604,326,278,England,17,3,3,0,0,0,1,1,0,0,0,2,1,1,11,8,3,0,0,0.15,0.15,0.0,0.0,0.0,0,1.64,55,36,0,604,0.0,298,89,-1,18
213,Granit Xhaka,27,717552000,Premier League,2018/2019,Midfielder,Arsenal,2502,1317,1185,Switzerland,29,15,14,4,2,2,2,0,2,0,0,7,6,1,35,11,24,10,0,0.22,0.07,0.14,0.14,0.15,626,1.26,71,86,250,1251,0.36,127,183,-1,6
214,Greg Cunningham,29,665280000,Premier League,2018/2019,Defender,Cardiff City,630,450,180,Republic of Ireland,7,5,2,0,0,0,0,0,0,0,0,1,0,1,16,15,1,3,0,0.0,0.0,0.0,0.0,0.0,0,2.29,39,90,210,0,0.43,313,381,170,19
215,Gylfi Sigurdsson,30,621216000,Premier League,2018/2019,Midfielder,Everton,3134,1602,1532,Iceland,38,18,18,13,7,6,6,2,4,2,3,14,9,5,40,19,21,3,0,0.55,0.17,0.37,0.39,0.35,241,1.15,78,82,1045,522,0.09,46,84,-1,2
216,Hamza Choudhury,22,875664000,Premier League,2018/2019,Midfielder,Leicester City,596,308,288,England,9,4,3,0,0,0,0,0,0,0,0,4,2,2,4,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.6,149,66,0,0,0.0,275,297,-1,23
217,Harry Arter,30,630806400,Premier League,2018/2019,Midfielder,Cardiff City,2008,1186,822,Republic of Ireland,25,14,10,0,0,0,1,1,0,0,0,7,4,3,37,25,12,10,0,0.04,0.04,0.0,0.0,0.0,0,1.66,54,80,201,2008,0.45,304,221,-1,16
218,Harry Kane,27,743817600,Premier League,2018/2019,Forward,Tottenham Hotspur,2427,1066,1361,England,28,12,15,17,6,11,4,2,2,4,0,10,4,6,28,10,18,5,0,0.78,0.15,0.63,0.51,0.73,143,1.04,87,87,485,607,0.19,5,94,-1,1
219,Harry Maguire,27,731289600,Premier League,2018/2019,Defender,Leicester City,2599,1350,1249,England,31,15,16,3,0,3,0,0,0,0,0,7,3,4,36,16,20,7,1,0.1,0.0,0.1,0.0,0.22,866,1.25,72,84,325,0,0.28,166,298,78,5
220,Harry Winks,24,823219200,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1591,832,759,England,26,9,8,1,0,1,0,0,0,0,0,10,4,6,16,8,8,4,0,0.06,0.0,0.06,0.0,0.12,1591,0.91,99,61,398,0,0.23,204,285,-1,9
221,Harvey Elliot,0,0,Premier League,2018/2019,Forward,Fulham,18,16,2,England,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,9,0,0,0.0,-1,-1,-1,28
222,Harvey Lewis Barnes,22,881625600,Premier League,2018/2019,Midfielder,Leicester City,1007,601,406,England,16,6,5,1,0,1,2,2,0,0,0,3,3,0,16,7,9,0,0,0.27,0.18,0.09,0.0,0.22,1007,1.43,63,63,0,504,0.0,173,77,-1,10
223,Håvard Nordtveit,30,645926400,Premier League,2018/2019,Midfielder,Fulham,361,90,271,Norway,5,1,3,0,0,0,1,0,1,0,0,1,0,1,9,2,7,0,0,0.25,0.25,0.0,0.0,0.0,0,2.24,40,72,0,361,0.0,419,41,-1,15
224,Hector Bellerin,25,795571200,Premier League,2018/2019,Defender,Arsenal,1535,882,653,Spain,19,10,8,0,0,0,5,4,1,0,0,4,4,0,20,8,12,3,0,0.29,0.29,0.0,0.0,0.0,0,1.17,77,81,512,307,0.18,385,26,61,27
225,Helder Costa,26,758332800,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1345,657,688,Portugal,25,8,8,1,0,1,2,1,1,0,0,5,3,2,18,10,8,3,0,0.2,0.13,0.07,0.0,0.13,1345,1.2,75,54,448,673,0.2,193,112,-1,9
226,Henrikh Mkhitaryan,31,601344000,Premier League,2018/2019,Midfielder,Arsenal,1643,650,993,Armenia,25,8,11,6,3,3,4,3,1,0,0,4,3,1,25,9,16,1,0,0.55,0.22,0.33,0.42,0.27,274,1.37,66,66,1643,411,0.05,53,56,-1,3
227,Heung-Min Son,28,710553600,Premier League,2018/2019,Forward,Tottenham Hotspur,2048,1161,887,South Korea,31,13,10,12,8,4,6,2,4,0,0,11,7,4,20,8,12,3,1,0.79,0.26,0.53,0.62,0.41,171,0.88,102,66,512,341,0.18,14,34,-1,2
228,Heurelho Gomes,39,351043200,Premier League,2018/2019,Goalkeeper,Watford,0,0,0,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
229,Hugo Lloris,33,535939200,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,2970,1620,1350,France,33,18,15,0,0,0,0,0,0,0,0,12,7,5,30,13,17,0,0,0.0,0.0,0.0,0.0,0.0,0,0.91,99,90,0,0,0.0,339,284,21,19
230,Ibrahima Cissé,26,762393600,Premier League,2018/2019,Midfielder,Fulham,87,9,78,Belgium,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,3.1,29,29,0,0,0.0,-1,-1,-1,20
231,Idrissa Gueye,30,622771200,Premier League,2018/2019,Midfielder,Everton,2825,1407,1418,Senegal,33,16,16,0,0,0,2,1,1,0,0,13,9,4,29,10,19,6,0,0.06,0.06,0.0,0.0,0.0,0,0.92,97,86,471,1413,0.19,413,192,-1,19
232,Ilkay Gundogan,29,656726400,Premier League,2018/2019,Midfielder,Manchester City,2135,985,1150,Germany,31,10,13,6,4,2,3,0,3,0,0,15,6,9,15,8,7,3,0,0.38,0.13,0.25,0.37,0.16,356,0.63,142,69,712,712,0.13,78,119,-1,8
233,Isaac Success,24,820972800,Premier League,2018/2019,Forward,Watford,1037,461,576,Nigeria,30,3,6,1,1,0,1,0,1,0,0,5,3,2,20,8,12,4,0,0.17,0.09,0.09,0.2,0.0,1037,1.74,52,35,259,1037,0.35,170,153,-1,10
234,Isaac Hayden,25,795830400,Premier League,2018/2019,Midfielder,Newcastle United,1886,904,982,England,25,10,11,1,0,1,4,4,0,0,0,7,3,4,25,12,13,4,1,0.24,0.19,0.05,0.0,0.09,1886,1.19,75,75,377,472,0.24,219,70,-1,10
235,Isaac Mbenza,24,826243200,Premier League,2018/2019,Forward,Huddersfield Town,981,589,392,Belgium,22,5,5,1,1,0,1,1,0,0,0,4,2,2,25,15,10,1,0,0.18,0.09,0.09,0.15,0.0,981,2.29,39,45,981,981,0.09,177,163,-1,11
236,Issa Diop,23,852768000,Premier League,2018/2019,Defender,West Ham United,2970,1530,1440,France,33,17,16,1,1,0,0,0,0,0,0,7,4,3,38,20,18,4,0,0.03,0.0,0.03,0.06,0.0,2970,1.15,78,90,743,0,0.12,249,364,55,14
237,Ivan Cavaleiro,26,750902400,Premier League,2018/2019,Forward,Wolverhampton Wanderers,683,331,352,Portugal,23,3,3,3,2,1,1,0,1,0,0,5,4,1,10,7,3,1,0,0.53,0.13,0.4,0.54,0.26,228,1.32,68,30,683,683,0.13,34,118,-1,6
238,Jack Cork,31,614736000,Premier League,2018/2019,Midfielder,Burnley,3313,1693,1620,England,37,19,18,1,1,0,2,1,1,0,0,8,5,3,54,27,27,6,0,0.08,0.05,0.03,0.05,0.0,3313,1.47,61,90,552,1657,0.16,248,204,-1,11
239,Jack Simpson,23,850867200,Premier League,2018/2019,Defender,AFC Bournemouth,403,240,163,England,6,2,2,0,0,0,0,0,0,0,0,2,1,1,9,2,7,0,0,0.0,0.0,0.0,0.0,0.0,0,2.01,45,67,0,0,0.0,272,314,163,18
240,Jack Stephens,26,759628800,Premier League,2018/2019,Defender,Southampton,1697,816,881,England,24,9,10,1,1,0,0,0,0,0,0,5,2,3,30,11,19,4,0,0.05,0.0,0.05,0.11,0.0,1697,1.59,57,71,424,0,0.21,217,369,130,14
241,Jack Wilshere,28,694224000,Premier League,2018/2019,Midfielder,West Ham United,389,181,208,England,8,2,2,0,0,0,1,0,1,0,0,2,1,1,8,2,6,2,0,0.23,0.23,0.0,0.0,0.0,0,1.85,49,49,195,389,0.46,369,48,-1,24
242,Jacob Murphy,25,793584000,Premier League,2018/2019,Midfielder,Newcastle United,300,167,133,England,9,2,1,0,0,0,1,0,1,0,0,1,0,1,7,3,4,0,0,0.3,0.3,0.0,0.0,0.0,0,2.1,43,33,0,300,0.0,301,21,-1,17
243,Jairo Riedewald,23,842227200,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
244,Jamal Lascelles,26,752976000,Premier League,2018/2019,Defender,Newcastle United,2748,1308,1440,England,32,16,16,0,0,0,1,1,0,0,0,11,5,6,33,16,17,4,0,0.03,0.03,0.0,0.0,0.0,0,1.08,83,86,687,2748,0.13,346,245,41,23
245,James Garner,19,984441600,Premier League,2018/2019,Defender,Manchester United,0,0,0,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
246,James Maddison,23,848707200,Premier League,2018/2019,Midfielder,Leicester City,2850,1535,1315,England,36,18,17,7,3,4,7,4,3,1,1,8,5,3,39,18,21,5,1,0.44,0.22,0.22,0.18,0.27,407,1.23,73,79,570,407,0.16,83,60,-1,2
247,James McArthur,32,560563200,Premier League,2018/2019,Midfielder,Crystal Palace,3071,1506,1565,Scotland,38,18,18,3,1,2,6,1,5,0,0,12,7,5,44,19,25,7,0,0.26,0.18,0.09,0.06,0.12,1024,1.29,70,81,439,512,0.21,179,74,-1,7
248,James McCarthy,29,658368000,Premier League,2018/2019,Midfielder,Everton,14,14,0,Republic of Ireland,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,14,0,0,0.0,-1,-1,-1,22
249,James Milner,34,505180800,Premier League,2018/2019,Midfielder,Liverpool,1785,646,1139,England,31,7,12,5,0,5,4,2,2,3,0,18,9,9,11,4,7,7,1,0.45,0.2,0.25,0.0,0.4,357,0.55,162,58,255,446,0.35,80,64,-1,5
250,James Tarkowski,27,722131200,Premier League,2018/2019,Defender,Burnley,3087,1620,1467,England,35,18,17,3,2,1,1,1,0,0,0,7,5,2,52,25,27,8,0,0.12,0.03,0.09,0.11,0.06,1029,1.52,59,88,386,3087,0.23,172,238,121,4
251,James Tomkins,31,607132800,Premier League,2018/2019,Defender,Crystal Palace,2563,1140,1423,England,29,13,16,1,0,1,1,0,1,0,0,10,5,5,34,12,22,6,0,0.07,0.04,0.04,0.0,0.06,2563,1.19,75,88,427,2563,0.21,232,215,63,9
252,James Ward-Prowse,25,783648000,Premier League,2018/2019,Midfielder,Southampton,1942,942,1000,England,26,10,11,7,5,2,0,0,0,1,0,4,2,2,36,15,21,4,0,0.32,0.0,0.32,0.48,0.18,277,1.67,54,75,486,0,0.19,55,347,-1,1
253,Jamie Sterry,24,816912000,Premier League,2018/2019,Defender,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
254,Jamie Vardy,33,537321600,Premier League,2018/2019,Forward,Leicester City,2735,1418,1317,England,34,16,14,18,8,10,4,3,1,4,1,10,6,4,33,13,20,4,1,0.72,0.13,0.59,0.51,0.68,152,1.09,83,80,547,684,0.16,9,120,-1,1
255,Jan Bednarek,24,829267200,Premier League,2018/2019,Defender,Southampton,2151,1126,1025,Poland,25,13,11,0,0,0,1,0,1,0,0,3,1,2,33,19,14,7,0,0.04,0.04,0.0,0.0,0.0,0,1.38,65,86,307,2151,0.29,377,225,98,24
256,Jan Vertonghen,33,546220800,Premier League,2018/2019,Defender,Tottenham Hotspur,1915,884,1031,Belgium,22,10,12,1,0,1,0,0,0,0,0,7,4,3,21,7,14,5,1,0.05,0.0,0.05,0.0,0.09,1915,0.99,91,87,383,0,0.23,220,282,31,10
257,Jannik Vestergaard,27,712800000,Premier League,2018/2019,Defender,Southampton,2030,1130,900,Denmark,23,13,10,0,0,0,0,0,0,0,0,4,2,2,27,14,13,2,0,0.0,0.0,0.0,0.0,0.0,0,1.2,75,88,1015,0,0.09,373,367,65,28
258,Jason Puncheon,34,520128000,Premier League,2018/2019,Midfielder,Huddersfield Town,391,248,143,England,11,3,2,0,0,0,0,0,0,0,0,3,2,1,8,6,2,1,0,0.0,0.0,0.0,0.0,0.0,0,1.84,49,36,391,0,0.23,305,260,-1,19
259,Jason Steele,29,650937600,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
260,Javier Chicharito Hernandez,32,581126400,Premier League,2018/2019,Forward,West Ham United,1335,694,641,Mexico,25,7,7,7,5,2,1,0,1,0,0,3,1,2,16,8,8,2,0,0.54,0.07,0.47,0.65,0.28,191,1.08,83,53,668,1335,0.13,21,186,-1,3
261,Javier Manquillo,26,768096000,Premier League,2018/2019,Defender,Newcastle United,1097,503,594,Spain,18,5,7,0,0,0,3,2,1,0,0,6,3,3,12,6,6,2,0,0.25,0.25,0.0,0.0,0.0,0,0.98,91,61,549,366,0.16,350,40,30,19
262,Jayson Molumby,21,933897600,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
263,Jazz Richards,29,671414400,Premier League,2018/2019,Defender,Cardiff City,128,52,76,Wales,4,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0,2.81,32,32,0,0,0.0,-1,-1,-1,18
264,Jean Michael Seri,29,679881600,Premier League,2018/2019,Midfielder,Fulham,2252,1112,1140,Côte d'Ivoire,32,14,13,1,1,0,2,0,2,0,0,4,2,2,53,23,30,6,0,0.12,0.08,0.04,0.08,0.0,2252,2.12,42,70,375,1126,0.24,230,168,-1,7
265,Jeff Hendrick,28,696816000,Premier League,2018/2019,Midfielder,Burnley,2069,898,1171,Republic of Ireland,32,12,13,3,1,2,0,0,0,0,0,6,3,3,41,18,23,4,0,0.13,0.0,0.13,0.1,0.15,690,1.78,50,65,517,0,0.17,130,349,-1,6
266,Jefferson Lerma,25,783043200,Premier League,2018/2019,Midfielder,AFC Bournemouth,2511,1319,1192,Colombia,30,15,14,2,0,2,0,0,0,0,0,8,4,4,45,18,27,12,0,0.07,0.0,0.07,0.0,0.15,1256,1.61,56,84,209,0,0.43,202,288,-1,6
267,Jeffrey Schlupp,27,725068800,Premier League,2018/2019,Defender,Crystal Palace,1665,849,816,Ghana,30,10,8,4,1,3,1,1,0,0,0,8,4,4,24,11,13,1,0,0.27,0.05,0.22,0.11,0.33,416,1.3,69,56,1665,1665,0.05,89,209,86,5
268,Jermain Defoe,37,402796800,Premier League,2018/2019,Forward,AFC Bournemouth,21,0,21,England,4,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,8.57,11,5,0,0,0.0,-1,-1,-1,25
269,Jesse Lingard,27,724377600,Premier League,2018/2019,Midfielder,Manchester United,1668,963,705,England,27,11,8,4,1,3,2,1,1,1,0,6,2,4,25,16,9,3,0,0.32,0.11,0.22,0.09,0.38,417,1.35,67,62,556,834,0.16,87,143,-1,5
270,Jose Moutinho,33,526521600,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3040,1532,1508,Portugal,38,18,17,1,0,1,8,5,3,0,0,9,7,2,37,17,20,4,0,0.27,0.24,0.03,0.0,0.06,3040,1.1,82,80,760,380,0.12,258,44,-1,11
271,Joe Bennett,30,638582400,Premier League,2018/2019,Defender,Cardiff City,2641,1142,1499,England,30,13,17,0,0,0,1,1,0,0,0,9,5,4,43,18,25,5,0,0.03,0.03,0.0,0.0,0.0,0,1.47,61,88,528,2641,0.17,324,241,112,23
272,Joe Bryan,26,748224000,Premier League,2018/2019,Defender,Fulham,2350,1214,1136,England,28,14,13,0,0,0,1,1,0,0,0,5,3,2,51,21,30,5,0,0.04,0.04,0.0,0.0,0.0,0,1.95,46,84,470,2350,0.19,316,218,158,26
273,Joe Daniel Tupper,22,879552000,Premier League,2018/2019,Goalkeeper,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
274,Joe Gomez,23,864345600,Premier League,2018/2019,Defender,Liverpool,1060,493,567,England,16,5,7,0,0,0,0,0,0,0,0,11,8,3,3,0,3,2,0,0.0,0.0,0.0,0.0,0.0,0,0.25,353,66,530,0,0.17,407,398,1,19
275,Joe Hart,33,545788800,Premier League,2018/2019,Goalkeeper,Burnley,1710,810,900,England,19,9,10,0,0,0,0,0,0,0,0,4,2,2,34,17,17,0,0,0.0,0.0,0.0,0.0,0.0,0,1.79,50,90,0,0,0.0,367,341,149,16
276,Joe Powell,21,909705600,Premier League,2018/2019,Forward,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
277,Joe Ralls,26,750470400,Premier League,2018/2019,Midfielder,Cardiff City,1959,847,1112,England,28,9,13,0,0,0,0,0,0,0,1,8,5,3,35,17,18,5,1,0.0,0.0,0.0,0.0,0.0,0,1.61,56,70,327,0,0.28,336,383,-1,22
278,Joel Coleman,24,812073600,Premier League,2018/2019,Goalkeeper,Huddersfield Town,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,90,90,0,0,0.0,-1,-1,-1,16
279,Joel Matip,28,681609600,Premier League,2018/2019,Defender,Liverpool,1532,811,721,Cameroon,22,9,8,1,1,0,0,0,0,0,0,11,6,5,9,5,4,3,0,0.06,0.0,0.06,0.11,0.0,1532,0.53,170,70,511,0,0.18,210,286,8,11
280,Joel Ward,30,625622400,Premier League,2018/2019,Defender,Crystal Palace,551,191,360,England,7,2,4,1,1,0,0,0,0,0,0,0,0,0,12,6,6,1,0,0.16,0.0,0.16,0.47,0.0,551,1.96,46,79,551,0,0.16,114,358,159,11
281,Johann Berg Gudmunds­son,29,656985600,Premier League,2018/2019,Midfielder,Burnley,1748,847,901,Iceland,29,8,11,3,0,3,6,5,1,0,0,6,4,2,31,13,18,2,0,0.46,0.31,0.15,0.0,0.3,583,1.6,56,60,874,291,0.1,117,18,-1,5
282,John Ruddy,33,530496000,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,90,90,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,90,0,0,0.0,-1,-1,-1,17
283,John Stones,26,770083200,Premier League,2018/2019,Defender,Manchester City,1762,968,794,England,24,11,9,0,0,0,0,0,0,0,0,13,6,7,15,8,7,1,0,0.0,0.0,0.0,0.0,0.0,0,0.77,117,73,1762,0,0.05,309,418,17,17
284,Jon Gorenc Stankovič,24,821577600,Premier League,2018/2019,Defender,Huddersfield Town,718,218,500,Slovenia,11,3,6,1,0,1,0,0,0,0,0,2,1,1,19,3,16,2,0,0.13,0.0,0.13,0.0,0.18,718,2.38,38,65,359,0,0.25,139,291,171,8
285,Jonas Lössl,31,602294400,Premier League,2018/2019,Goalkeeper,Huddersfield Town,2777,1427,1350,Denmark,31,15,15,0,0,0,1,1,0,0,0,5,3,2,52,22,30,1,0,0.03,0.03,0.0,0.0,0.0,0,1.69,53,90,2777,2777,0.03,333,247,139,25
286,Jonathan Hogg,31,597369600,Premier League,2018/2019,Midfielder,Huddersfield Town,2377,1294,1083,England,29,16,13,0,0,0,1,1,0,0,0,5,3,2,42,23,19,9,1,0.04,0.04,0.0,0.0,0.0,0,1.59,57,82,238,2377,0.38,330,231,-1,28
287,Jonathan Walters,36,432864000,Premier League,2018/2019,Forward,Burnley,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1
288,Jonjo Shelvey,28,699148800,Premier League,2018/2019,Midfielder,Newcastle United,944,403,541,England,16,4,6,1,0,1,1,0,1,0,0,5,1,4,11,8,3,1,0,0.19,0.1,0.1,0.0,0.17,944,1.05,86,59,944,944,0.1,165,146,-1,12
289,Jonjoe Kenny,23,858384000,Premier League,2018/2019,Defender,Everton,790,413,377,England,10,4,4,0,0,0,1,1,0,0,0,2,1,1,14,7,7,1,0,0.11,0.11,0.0,0.0,0.0,0,1.59,56,79,790,790,0.11,308,135,129,15
290,Jonny Castro,26,762652800,Premier League,2018/2019,Defender,Wolverhampton Wanderers,2780,1269,1511,Spain,33,15,17,1,1,0,1,1,0,0,0,8,6,2,36,16,20,6,0,0.06,0.03,0.03,0.07,0.0,2780,1.17,77,84,463,2780,0.19,257,237,59,12
291,Jonny Evans,32,568166400,Premier League,2018/2019,Defender,Leicester City,1995,1074,921,Northern Ireland,24,12,9,1,1,0,0,0,0,0,0,8,6,2,22,9,13,2,0,0.05,0.0,0.05,0.08,0.0,1995,0.99,91,83,998,0,0.09,218,320,32,11
292,Jordan Ayew,28,684547200,Premier League,2018/2019,Forward,Crystal Palace,1186,616,570,Ghana,20,8,6,1,0,1,2,0,2,0,0,6,3,3,13,7,6,3,0,0.23,0.15,0.08,0.0,0.16,1186,0.99,91,59,395,593,0.23,182,96,-1,12
293,Jordan Henderson,30,645580800,Premier League,2018/2019,Midfielder,Liverpool,1983,925,1058,England,32,9,12,1,0,1,3,2,1,0,0,19,10,9,11,4,7,3,1,0.18,0.14,0.05,0.0,0.09,1983,0.5,180,62,661,661,0.14,223,102,-1,14
294,Jordan Pickford,26,762998400,Premier League,2018/2019,Goalkeeper,Everton,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,14,9,5,44,20,24,1,0,0.0,0.0,0.0,0.0,0.0,0,1.16,78,90,3420,0,0.03,409,255,57,14
295,Jordon Ibe,24,818380800,Premier League,2018/2019,Midfielder,AFC Bournemouth,795,334,461,England,19,3,6,1,0,1,1,1,0,0,0,4,4,0,21,3,18,1,0,0.23,0.11,0.11,0.0,0.2,795,2.38,38,42,795,795,0.11,148,132,-1,13
296,Jorginho,28,693187200,Premier League,2018/2019,Midfielder,Chelsea,3165,1621,1544,Italy,37,19,18,2,0,2,0,0,0,1,0,16,10,6,36,12,24,8,0,0.06,0.0,0.06,0.0,0.12,1583,1.02,88,86,396,0,0.23,212,375,-1,11
